text;text_g;text_s;y_max;page;file
une leçon;eine Lektion;;943;2;C:\coding\voki\data\SerieVertes1.pdf
1 = un;eins;;965;2;C:\coding\voki\data\SerieVertes1.pdf
Arthur;"männl. Vorname; hier: Name eines Papageis";;1079;2;C:\coding\voki\data\SerieVertes1.pdf
à;in;;1122;2;C:\coding\voki\data\SerieVertes1.pdf
Paris;Hauptstadt Frankreichs;;1146;2;C:\coding\voki\data\SerieVertes1.pdf
Bonjour!;Guten Tag!;~, Arthur!;1171;2;C:\coding\voki\data\SerieVertes1.pdf
une rue;eine Straße;;1192;2;C:\coding\voki\data\SerieVertes1.pdf
c'est;das ist;;1216;2;C:\coding\voki\data\SerieVertes1.pdf
monsieur ...;Herr ...;;1240;2;C:\coding\voki\data\SerieVertes1.pdf
Rigot;Familienname;;1264;2;C:\coding\voki\data\SerieVertes1.pdf
Julien;männl. Vorname;;1288;2;C:\coding\voki\data\SerieVertes1.pdf
avec;mit;;136;3;C:\coding\voki\data\SerieVertes1.pdf
et;und;C'est M. Rigot avec Julien ~ Arthur.;156;3;C:\coding\voki\data\SerieVertes1.pdf
un perroquet;ein Papagei;;181;3;C:\coding\voki\data\SerieVertes1.pdf
Arthur est un perroquet.;Arthur ist ein Papagei.;C'est Julien et | un perroquet. [ ... e ... ] Arthur est un perroquet. [ ... etě ... ];202;3;C:\coding\voki\data\SerieVertes1.pdf
Lacombe;Familienname;;249;3;C:\coding\voki\data\SerieVertes1.pdf
un voisin;ein Nachbar;;272;3;C:\coding\voki\data\SerieVertes1.pdf
M. Lacombe;Abkürzung für Monsieur Lacombe;;294;3;C:\coding\voki\data\SerieVertes1.pdf
madame ...;Frau ...;;339;3;C:\coding\voki\data\SerieVertes1.pdf
Bonjour, madame!;Guten Tag! (zu einer Frau);;362;3;C:\coding\voki\data\SerieVertes1.pdf
Bonjour, monsieur!;Guten Tag! (zu einem Mann);;407;3;C:\coding\voki\data\SerieVertes1.pdf
Bienvenue!;Herzlich willkommen!;;454;3;C:\coding\voki\data\SerieVertes1.pdf
Je m'appelle ...;Ich heiße ... /Mein Name ist ...;Je ~ Julien.;478;3;C:\coding\voki\data\SerieVertes1.pdf
Mme Rigot;Abkürzung für Madame Rigot;Mme + -> M.;524;3;C:\coding\voki\data\SerieVertes1.pdf
Catherine;weibl. Vorname;;571;3;C:\coding\voki\data\SerieVertes1.pdf
moi;ich (betont);;594;3;C:\coding\voki\data\SerieVertes1.pdf
je suis;ich bin;;615;3;C:\coding\voki\data\SerieVertes1.pdf
Bernard;männl. Vorname;;636;3;C:\coding\voki\data\SerieVertes1.pdf
Moi, je suis Bernard Rigot.;Ich (betont) bin Bernard Rigot.;;660;3;C:\coding\voki\data\SerieVertes1.pdf
Charles;männl. Vorname;;706;3;C:\coding\voki\data\SerieVertes1.pdf
A bientôt!;Bis bald!;;729;3;C:\coding\voki\data\SerieVertes1.pdf
Isabelle;weibl. Vorname;;751;3;C:\coding\voki\data\SerieVertes1.pdf
Salut! (fam.);Grüß dich!/Hallo! (ugs.);;775;3;C:\coding\voki\data\SerieVertes1.pdf
toi;du (betont);;820;3;C:\coding\voki\data\SerieVertes1.pdf
Tu t'appelles ...;Du heißt ...;;843;3;C:\coding\voki\data\SerieVertes1.pdf
comment;wie;;865;3;C:\coding\voki\data\SerieVertes1.pdf
Et toi, tu t'appelles comment?;Und du (betont)? Wie heißt du?;Moi, je m'appelle Isabelle. ~;888;3;C:\coding\voki\data\SerieVertes1.pdf
Oh!;Oh! (Ausdruck des Erstaunens);;934;3;C:\coding\voki\data\SerieVertes1.pdf
Qui est-ce?;Wer ist das?;~? - C'est M. Lacombe, un voisin.;980;3;C:\coding\voki\data\SerieVertes1.pdf
Salut! (fam.);hier: Tschüs! (ugs.);;1001;3;C:\coding\voki\data\SerieVertes1.pdf
Blanchard;Familienname;;1024;3;C:\coding\voki\data\SerieVertes1.pdf
