text;text_g;text_s;y_max;hash
le jaune;das Gelb;- jaune;135;cf885174259ff65b84f1221dc19d6db5
ou alors;oder aber/oder auch;Je voudrais des frites ~ des spaghettis.;157;ced3ae2674172d8751fb9dfda4e209d6
beau/bel/belle;schön;Regarde le chat. C'est un ~1 animal.;180;42bbe7ea96ceac7a60eda06ef59ec8da
rouge;rot;Tu aimes la couleur ~?;203;c6ea9af480ca35cb8ded3cb033937f58
plaire à qn;jdm. gefallen;Non, le jaune me -2 mieux.;227;6d576bdd1da9e5efbd17c6618dbdc2f1
Moi, ça ne me plaît pas. (fam.);Mir (betont) gefällt es nicht. (ugs.);Le rouge? ~;250;fa8925585689a51d6dca29d38ddc74e1
vert/verte;grün;En mai, les arbres sont -3.;295;4b2dc9d9506cbf9269c022c0efab8d4a
agressif/agressive;aggressiv, angriffslustig;;318;2c61d47432731482915aafccd44f0979
un blouson;eine Jacke/ein Blouson;;408;c2f21818188ccd59d9a2470b004c12b5
une chemise;ein Hemd;Ta ~ va bien avec ton blouson et ton pantalon.;431;793d6715adf3bb9a2ea5624732da65c6
ce/cet/cette/ces;diese(r), dieses (Demonstrativbegleiter);Comment est-ce que tu trouves -5 chemise?;476;a01c6c81c0930c831a3eeec63a68228b
un travail/des travaux;eine Arbeit/Arbeiten;"- travailler;";523;d94984d1694bb341a8cbb038095a36a3
Au travail!;An die Arbeit!;;567;de5784c0fcaa1d11cfa95dd8ba99d15d
un modèle;ein Modell;[F] =- èle + + [D] = Modell;591;7ecbea870a07d389b13dc5629732fee9
du matin au soir;von morgens bis abends;Ils travaillent ~.;613;433e37644bedce64b0df57cc21a3a608
avoir le temps de faire qe;(die) Zeit haben etw. zu tun;Tu -6 regarder la télé ce soir?;638;c05d4cb5f8e381d9022431c0981c9d93
«La Mode»;hier: Name eines Restaurants;;681;8f3debb6b58a45bff98a5ed4cfc2357e
Junior;männl. Vorname;;728;4547f8865b529680d4a06e00c18eca00
un Africain/une Africaine;ein Afrikaner/eine Afrikanerin;;750;cd0ad09b293b7f671dfb042edcff2b85
un employé/une employée;ein Angestellter/eine Angestellte;Junior est un nouvel ~ chez B.A.I.;796;cf90313948f5e398227a29e294249331
peut-être;vielleicht;Elle n'est pas là. Elle est ~ malade.;841;5a1b1cf58b12cdd69e00ed03eeb88f59
trouver qe beau;etw. schon finden;Regarde cette voiture. Je ~7 belle.;910;41e7ae77f5cc3d84b84ab927fb330393
original/originale;originell, neuartig;[F] = ------ al + + [D] = originell;934;bf366f08bd6bb1c4d98196dd5e662514
une mode-choc (fam.);eine Supermode (ugs.);;955;90d0dba194598a4dd5e13c36f766c9f6
chic (inv.);schick;"[F = chic + -+ [D] = schick; des vêtements ~8";978;e5002ef0f0b300a0f22bed53c0305069
une jupe;ein Rock;;1091;eeba6302f0dca6af73cf5e2420e81ac8
blanc/blanche;weiß;;1114;de237c42f8a1d8ee0350addecb63f0d4
gris/grise;grau;;1136;9f24165895d0074c5ba63a0e2b32ec76
bleu/bleue;blau;;1159;7c45eda17014ff47885f6d558d4bb98d
violet/violette;violett;;1183;3ab0dd4b6a05ed8ef1cfe9ec30705eb4
orange (inv.);orange;;137;e044c8e64e5d9507b8a249e2c534315a
marron (inv.);(kastanien)braun;;160;d9f53fef53b94443eb94ac06e420c761
un chemisier;eine Bluse;;183;34db08dab53b7d2821e2603e3aed5dd3
un T-shirt;ein T-Shirt;;205;381b09bd08a311f12134cb0d1770e934
un pull (fam.);ein Pulli (ugs.);;228;969fc24e736436be033bd7e2e7673b02
un sweat (fam.);ein Sweatshirt (ugs.);;251;4ce8e773335896f26ef95abb17c71a9d
le printemps;der Frühling;Enfin, ~ arrive.;366;ad4c3aef42ae77625ce3167558ade06e
au printemps;im Frühling;~, on voit des fleurs partout.;387;fdae3184ecffa23f7ef08ae1a3f86bc9
avant;vor (zeitlich)/vorher;~ les cours, les élèves discutent devant l'école.;408;a5dba937837146b30b7f808472427ea5
une sortie;"ein Ausgang; hier: ein Markteintritt";L'équipe fête la ~ de la collection.;454;8c6dc3f93ab594e2c66a80381009740c
le Centre (Georges-)Pompidou;das Centre Pompidou (Kunst und Kulturzentrum in Paris);;503;bfdb7760890832dc3bd60394cd5152df
triste;traurig;+ gai/gaie;566;535500fa8ed249a3c394dd6da143923d
Clermont-Ferrand;Stadt in der Auvergne;;591;1f66e58a6943ff6879f836846ec926f8
cet été;dieser Sommer/in diesem Sommer;~, je reste à la maison.;614;d1b387b2821c214e1f7c0483883254c4
c'est l'heure de faire qe;es ist Zeit, etw. zu tun;Une heure deja? ~ manger.;661;fe61a2eb33beeaf91525db4a658fbbb4
admirer qn;jdn. bewundern;On ~1 les champions.;683;496367b19b8f9b780263fc655b69cec0
une statue;eine Statue/Skulptur;;705;7da81948702f7199ba2d1a1c9b92ecfc
Niki de Saint-Phalle;frz. Malerin und Bildhauerin, geb. 1930;;728;6f8aaeb2bbe58ed432aa3c39a55bcbc4
courir;laufen/rennen;Un vrai sportif aime ~.;771;c257cd6428c892a9f729124f4fdb588d
j'ai couru;ich bin gelaufen;~ une heure.;794;0308738178c2352b7c725529fbd775bb
bousculer qn;jdn. anrempeln;Je vous ai ~2? Oh, pardon!;817;821bdecc12ff69d7e0185202091f761a
Ce n'est rien.;Das macht nichts.;;839;780414fbeff432690fc968197b817065
ce/cet/cette/ces ... - là;der/die/das ... . da/dort Demonstrativbegleiter);;863;ea4cd550dfc7a9d1cc33202a68626d1f
cette couleur-là;die(se) Farbe da;Je n'aime pas -.;932;0a761a47d67b3c9ffec6efbea4fcc2e7
une pièce;ein Teil/Stück;;956;73247b6df0be8617bd05811760307464
une pièce de tissu;ein Stück Stoff/ ein Flicken;;999;5f9d11e211a1c8de62184589c0be9bcd
la façon;die Art;Je n'aime pas sa ~ de me regarder.;1044;35d1d6658dbdd2ae2851836aeae4816d
un puzzle;ein Puzzle;;1068;3adf0cbbaa32216f42558c440509c6db
la façon puzzle;die Patchworkart;;1091;8dfe01f2417349cdc9f8d64de81790ef
On a imité notre collection! ~!- C'est impossible!;Man hat unsere Kollektion kopiert/nachgemacht!;;1113;cb4d45a41bb0e09f36d4cd038f70a131
j'ai vu;ich habe gesehen;~ nos nouveaux modèles.;1180;f1405b22e7f0418e4d6b9225644d7cee
entendre qc;ctw. hören;Ecoute. - Mais je n'~4 rien!;1204;0b5a42f730ed902413beafecc2735efb
Jamais entendu.;Nie gehört.;;135;36191ab31b2aba2fbeb581e694ded1b5
nos idées plaisent;unsere Ideen gefallen/ kommen gut an;~ parce qu'elles sont bonnes.;158;f32296e4fa5ab9620cb76c706f88552f
voler qe à qn;jdm. etw. stehlen;On lui a ~1 son vélo.;206;825dd162b4436ebca439309f6bf480c3
une catastrophe;eine Katastrophe;;227;6c0ae7f45e928af80d1688c14d202639
accuser qn;jdn. anklagen;Il n'a rien fait. On ne peut pas l' ~,;250;58aadbd25d6ee37586e994285dd4d440
un étranger/une étrangère;ein Ausländer/eine Ausländerin;~ m'a demandé son chemin.;274;32af9e45828b02c9d783973b24c1eb16
un menteur/une menteuse;ein Lügner/eine Lügnerin;Il m'a accusé. Mais c'est ~,;319;d26b24cb1af7421a7cf389cbacb6164d
une jeune fille;ein (junges) Mädchen;;455;b10dcd9b22102c2f4f61416a14a54f4c
il a fait;er hat gemacht/getan;;477;2dbf3fcd9f7161e81c66c8cb7a2842af
un film;ein Film;;501;539963e8f742df19a75064b060ea0cbd
excuser qn;jdn. entschuldigen;;525;0cd7374a8a3698d8cd2938731c999bea
Excuse-moi!/Excusez-moi!;Entschuldige!/Entschuldigen Sie!;;547;c44666b309577773e248628bf095c0e8
grave;schlimm;;592;386a023bd38fab85cb531824bfe9a879
août (m.);August;~ est en été.;728;d86d39365846b765c2aee381c88e9a2d
tous;alle;;750;d62682797365d16eb90d5893ff84bb3f
Chers tous, ...;Ihr Lieben, ... (Anrede im Brief);;775;f6a351524735b82fd2030a3efbdc4d69
retrouver qe;"etw. wiederfinden; hier: die Arbeit in etw. wieder aufnehmen";Après les vacances, on ~2 son travail.;818;fbe74d92144cf9d5179f7eb166d9b04f
une accusation;eine Anklage/Anschuldigung;-+ accuser;885;138fe851f203ed832351f74398e6623f
j'ai fait;ich habe gemacht/getan;~ mes devoirs.;931;d67a2f53e264df185a9fd93fd96a2466
j'ai voulu savoir;ich habe wissen wollen;-- son nom.;955;4e1d32b98efb892212289181f03cd0b4
Cornille;Familienname;;978;fb62b681bc657c03c14886eba0697a9e
la rue d'Aboukir;Straße in Paris (im 2. Bezirk);;998;479acc4112d93bc12d80e597bc84ffc2
j'ai été;ich bin gewesen;~ à Paris.;1045;4e2047ce00ecdb3907d2cfd8dce20ccf
la qualité;die Qualität;;1069;528dfec81afae3df2f5b531f42a005de
de mauvaise qualité;von schlechter Qualität/minderwertig;Elle ne prend jamais de tissus ~.;1091;fb8d09256e018a531cbefc5edffde5a0
être content/contente de faire qc;zufrieden, glücklich sein etw, zu tun;Elle est -> d'être en vacances.;1159;e00fb45938db800774a480c1f0917dee
je n'ai pas pu aller;ich habe nicht fahren können;~ en vacances cet été.;1205;494fba4578b974fec81a12de73dc30e7
juillet (m.);Juli;;137;107b082c0f445341b72f831a3cfc0885
en juillet;im Juli;Les vacances commencent ~.;157;46097ad408f6526131887dfa5874fa0f
vous avez compris;ihr habt verstanden;Maintenant, j'ai tout expliqué. ~?;181;0fbdd066c9a952fbfc980ec31ad19c65
un porte-monnaie/;ein Geldbeutel, Port-;;296;5b1573338e2c066e219a1c22d8b73c0b
des porte-monnaie;monee;;319;84b7f15fe1ebcca2ad283a8151eb32e7
un voleur/une voleuse;ein Dieb/eine Diebin;;365;ae604801230f033221c4e6e9ac17734f
un blouson;ein Anorak;;740;c2f21818188ccd59d9a2470b004c12b5
un chemisier;ein Kniestrumpf/ eine Socke;;786;34db08dab53b7d2821e2603e3aed5dd3
une jupe;ein Schuh;;831;eeba6302f0dca6af73cf5e2420e81ac8
un pantalon;ein Mantel/Mäntel;;854;721636ce732f9d95db8c4b76ed76ed7d
un sweat (fam.);ein Kleid;;899;4ce8e773335896f26ef95abb17c71a9d
un emploi;eine Beschäftigung/Arbeitsstelle;"- un travail; Elle a perdu son ~.";731;40694acee36aa66e4c151183ff0b21cf
un informaticien/ une informaticienne;ein Informatiker/eine Informatikerin;~ travaille sur un ordinateur.;776;e38c48e37299962f3a92d468d54de297
un emploi d'informaticienne Elle cherche ~.;eine Arbeitsstelle als Informatikerin;;821;d9e451901f423ff3cb12092ef3166ae0
sortir (de);"(aus etw.) hinausgehen/ -fahren; ausgehen";+ entrer (dans);866;1904180c0afb8a5ed49fe030c1627f2f
elle est sortie;sie ist hinausgegangen/ hinausgefahren/ausgegangen;Ta mère est là? - Non, ~ avec papa.;911;5baea8bc1d8f66417b5c63ed59633969
sortir avec qn;mit jdm. „gehen“ (eng befreundet sein);Elle ~1 avec un garçon très sympa.;979;2223135a88d259989ff57a7ff4bcf3b8
chaque;jeder/jede/jedes (+No-;Mon père va au marché ~ samedi matin.;1025;1ca4d2b813738419e1edaa06d949e389
partir;losgehen/weggehen/ abfahren/aufbrechen;+ arriver;1069;cf5f1c5c3091f9e3fe3f3cf2e36a0274
tôt;früh (Adverb);Quitter la maison à 6 heures, c'est -.;1114;e1f318fbd1ac2ce7ac666b65cc800a28
tard;spät (Adverb);# tôt;1138;e6dab821425cc94c8b72c15c3070f62b
